,id,creatorID,header_text,comment_count,upvotes,downvotes,imgSrc,checksum
70,jsid-post-ay2oNGb,9GAGGER,Andrew Tate,241,1.5K,436,https://img-9gag-fun.9cache.com/photo/ay2oNGb_460s.jpg,a1a47b812ea2e417ce8cfd3ff21db7571a612fc8e044dcc3fb426a5ee43aef72
71,jsid-post-aVbY8oO,kanguru666,And watching both on HD...,7,187,23,https://img-9gag-fun.9cache.com/photo/aVbY8oO_460s.jpg,c6048b0f8c476cc3b3b08ddf30679b8fd901d4f3c42d3215d64b539b18d9f308
72,jsid-post-aMEYxnP,chalabi,Greta's awesome comeback to this douchebag . (Andrew's comment remind me of those who brag about killing animals for anti-hunting activists),63,97,173,https://img-9gag-fun.9cache.com/photo/aMEYxnP_460s.jpg,011fde4705a91674624834937691eba0ca520e9aa090265681b9214c71ed63d0
73,jsid-post-avQom2X,null8fuenfzehn,Can't find shit,189,6.3K,104,https://img-9gag-fun.9cache.com/photo/avQom2X_460s.jpg,338a78cfd74c4f5db82ebc60630a186de9c4bdea6e15f861efa23c5320875ad5
74,jsid-post-ay2oNGb,9GAGGER,Andrew Tate,241,1.5K,436,https://img-9gag-fun.9cache.com/photo/ay2oNGb_460s.jpg,a1a47b812ea2e417ce8cfd3ff21db7571a612fc8e044dcc3fb426a5ee43aef72
75,jsid-post-aVbY8oO,kanguru666,And watching both on HD...,7,187,23,https://img-9gag-fun.9cache.com/photo/aVbY8oO_460s.jpg,c6048b0f8c476cc3b3b08ddf30679b8fd901d4f3c42d3215d64b539b18d9f308
76,jsid-post-a8q5WK6,djhambi,Russians didn't expect the power of Climate Change,31,126,40,https://img-9gag-fun.9cache.com/photo/a8q5WK6_460s.jpg,ced971bab2ac43717e53d06a16b9ca1514ae47a567c9befda0ad76d89a3da1f5
77,jsid-post-ago5eGg,bobmoran1,Foresight,70,78,40,https://img-9gag-fun.9cache.com/photo/ago5eGg_460s.jpg,7cc499aa96be6d41432ef850cadbdbf26a3dc1b55c15ce88fbb7bbfc1aa7445c
78,jsid-post-agondmx,abunbubu,Change my mind,258,6.3K,319,https://img-9gag-fun.9cache.com/photo/agondmx_460s.jpg,ff98e625873b35f75b3b965be9097f81b019ae035e4baea9f75d83e6e911cd22
79,jsid-post-anz90BL,9GAGGER,Trust the science,42,210,168,https://img-9gag-fun.9cache.com/photo/anz90BL_460s.jpg,b8757e5c21f357d3bacb9298bfecc75f8e9fd74619f0eabf7a87964be8458a45
80,jsid-post-a8q5WK6,djhambi,Russians didn't expect the power of Climate Change,31,126,40,https://img-9gag-fun.9cache.com/photo/a8q5WK6_460s.jpg,ced971bab2ac43717e53d06a16b9ca1514ae47a567c9befda0ad76d89a3da1f5
81,jsid-post-ago5eGg,bobmoran1,Foresight,70,78,40,https://img-9gag-fun.9cache.com/photo/ago5eGg_460s.jpg,7cc499aa96be6d41432ef850cadbdbf26a3dc1b55c15ce88fbb7bbfc1aa7445c
82,jsid-post-agondmx,abunbubu,Change my mind,258,6.3K,319,https://img-9gag-fun.9cache.com/photo/agondmx_460s.jpg,ff98e625873b35f75b3b965be9097f81b019ae035e4baea9f75d83e6e911cd22
83,jsid-post-anz90BL,9GAGGER,Trust the science,42,210,168,https://img-9gag-fun.9cache.com/photo/anz90BL_460s.jpg,b8757e5c21f357d3bacb9298bfecc75f8e9fd74619f0eabf7a87964be8458a45
84,jsid-post-aBd08bD,9GAGGER,Mr. Lovenstein Wholesome comic,121,2.5K,187,https://img-9gag-fun.9cache.com/photo/aBd08bD_460s.jpg,268abccb2969fb408b10b4ec4399344ee12794d2a2c110269ad5d44c6144865f
85,jsid-post-aA0gnEd,9GAGGER,Sudden climate change for yall,21,18,35,https://img-9gag-fun.9cache.com/photo/aA0gnEd_460s.jpg,1e79aa621ad4f169f09feffa5d036181bd66dd4167715e97ac92c5141253a80f
86,jsid-post-axo9z6Y,idudus,Society,603,9.2K,654,https://img-9gag-fun.9cache.com/photo/axo9z6Y_460s.jpg,306ab4c4938296d402da7a38794162613fd7f0a520b8f444d8edd7e4e209c3e3
87,jsid-post-a9qK6oZ,mauricioromani,A clear example of climate change,22,113,140,https://img-9gag-fun.9cache.com/photo/a9qK6oZ_460s.jpg,995b364ea72814796f72ded7d471b6e22dca5d4ac45bdc61060551407ff3e7df
88,jsid-post-aBd08bD,9GAGGER,Mr. Lovenstein Wholesome comic,121,2.5K,187,https://img-9gag-fun.9cache.com/photo/aBd08bD_460s.jpg,268abccb2969fb408b10b4ec4399344ee12794d2a2c110269ad5d44c6144865f
89,jsid-post-aA0gnEd,9GAGGER,Sudden climate change for yall,21,18,35,https://img-9gag-fun.9cache.com/photo/aA0gnEd_460s.jpg,1e79aa621ad4f169f09feffa5d036181bd66dd4167715e97ac92c5141253a80f
90,jsid-post-axo9z6Y,idudus,Society,603,9.2K,654,https://img-9gag-fun.9cache.com/photo/axo9z6Y_460s.jpg,306ab4c4938296d402da7a38794162613fd7f0a520b8f444d8edd7e4e209c3e3
91,jsid-post-a9qK6oZ,mauricioromani,A clear example of climate change,22,113,140,https://img-9gag-fun.9cache.com/photo/a9qK6oZ_460s.jpg,995b364ea72814796f72ded7d471b6e22dca5d4ac45bdc61060551407ff3e7df
92,jsid-post-a9qKrLK,shadow_banned98,Climate change is real!,37,78,100,https://img-9gag-fun.9cache.com/photo/a9qKrLK_460s.jpg,00a9921e9b7586ddda4ccba816aceaec87d4909371a0e1777d6e71916c6812bb
93,jsid-post-a6qKOn9,baracc0_barner,Guess I'll die.,21,40,53,https://img-9gag-fun.9cache.com/photo/a6qKOn9_460s.jpg,e0435844778112b936425721d174c41eff35b372e6438fc4523ad0400e6b85a1
94,jsid-post-a6qOo48,deadbroke74,Not Funny,90,530,261,https://img-9gag-fun.9cache.com/photo/a6qOo48_460s.jpg,bc50509bc833a4aafc08917eac5a1b68a344be6f8d0c6978404195824b6f2a0f
95,jsid-post-aGEdpV0,jobless_gfless,"And just like that, within my lifetime a problem was identified, policy enacted for a solution, and now the problem is we'll on it's way to being resolved! And this would have been the second time a climate problem was solved.",17,21,22,https://img-9gag-fun.9cache.com/photo/aGEdpV0_460s.jpg,79c555200e9fb3c18ebde64f860b7bbde8cb0e7ca5579f69361ce14c8812addf
96,jsid-post-a9qKrLK,shadow_banned98,Climate change is real!,37,78,100,https://img-9gag-fun.9cache.com/photo/a9qKrLK_460s.jpg,00a9921e9b7586ddda4ccba816aceaec87d4909371a0e1777d6e71916c6812bb
97,jsid-post-a6qKOn9,baracc0_barner,Guess I'll die.,21,40,53,https://img-9gag-fun.9cache.com/photo/a6qKOn9_460s.jpg,e0435844778112b936425721d174c41eff35b372e6438fc4523ad0400e6b85a1
98,jsid-post-a6qOo48,deadbroke74,Not Funny,90,530,261,https://img-9gag-fun.9cache.com/photo/a6qOo48_460s.jpg,bc50509bc833a4aafc08917eac5a1b68a344be6f8d0c6978404195824b6f2a0f
99,jsid-post-aGEdpV0,jobless_gfless,"And just like that, within my lifetime a problem was identified, policy enacted for a solution, and now the problem is we'll on it's way to being resolved! And this would have been the second time a climate problem was solved.",17,21,22,https://img-9gag-fun.9cache.com/photo/aGEdpV0_460s.jpg,79c555200e9fb3c18ebde64f860b7bbde8cb0e7ca5579f69361ce14c8812addf
100,jsid-post-a6qN7yN,9GAGGER,Leftwingers are dropping like flies lol,8,85,82,https://img-9gag-fun.9cache.com/photo/a6qN7yN_460s.jpg,f0cc84713859f2e4838b25882e2d0f2c74d3c571be9ba8cb8d7d7d5c616862a6
101,jsid-post-aXnj3d2,furtunos,Cat,44,6.3K,228,https://img-9gag-fun.9cache.com/photo/aXnj3d2_460s.jpg,1ffbc93ccff8465386991f5c7f799a7d0843e40bcd2cae07f1c9b4bc6b32c8ec
102,jsid-post-a6qN7yN,9GAGGER,Leftwingers are dropping like flies lol,8,85,82,https://img-9gag-fun.9cache.com/photo/a6qN7yN_460s.jpg,f0cc84713859f2e4838b25882e2d0f2c74d3c571be9ba8cb8d7d7d5c616862a6
103,jsid-post-aXnj3d2,furtunos,Cat,44,6.3K,228,https://img-9gag-fun.9cache.com/photo/aXnj3d2_460s.jpg,1ffbc93ccff8465386991f5c7f799a7d0843e40bcd2cae07f1c9b4bc6b32c8ec
104,jsid-post-aqenZnM,9GAGGER,Feed me your downvotes lab rats,54,114,158,https://img-9gag-fun.9cache.com/photo/aqenZnM_460s.jpg,46f96a46965c68fb0fdad1e80c67d6229480e4bf03aec3d7b32b8d5f2d218a94
105,jsid-post-a7q3b9z,war_and_peas,Stop,55,2K,97,https://img-9gag-fun.9cache.com/photo/a7q3b9z_460s.jpg,89d53b7b69d3a2e8e455284fe26cbaad6e8f355ac7000f8d4c3e202487e4ceb1
106,jsid-post-amAv0Zo,mongo5050,Psyborg,13,94,147,https://img-9gag-fun.9cache.com/photo/amAv0Zo_460s.jpg,503f03fdf422ab71ec52b4970892ca8248d8361df99fca5fc48e46eef4ac61ca
107,jsid-post-aqenZnM,9GAGGER,Feed me your downvotes lab rats,54,114,158,https://img-9gag-fun.9cache.com/photo/aqenZnM_460s.jpg,46f96a46965c68fb0fdad1e80c67d6229480e4bf03aec3d7b32b8d5f2d218a94
108,jsid-post-a7q3b9z,war_and_peas,Stop,55,2K,97,https://img-9gag-fun.9cache.com/photo/a7q3b9z_460s.jpg,89d53b7b69d3a2e8e455284fe26cbaad6e8f355ac7000f8d4c3e202487e4ceb1
109,jsid-post-amAv0Zo,mongo5050,Psyborg,13,94,147,https://img-9gag-fun.9cache.com/photo/amAv0Zo_460s.jpg,503f03fdf422ab71ec52b4970892ca8248d8361df99fca5fc48e46eef4ac61ca
